signal_id,dimension,time_series
58,5120,"[ 5.0167408e+00  4.6394076e+00  4.2355070e+00 ... -7.4677378e-02
  4.8924872e-04  6.9155961e-02]"
59,7168,[-2.178692  -2.1977994 -2.1438522 ...  1.6107572  1.6827259  1.4575801]
60,5251,[-1.6633639 -1.7693549 -1.7812965 ...  1.6107572  1.6827259  1.4575801]
61,4481,"[-0.71043545 -0.28591242  0.11093836 ... -2.2597878  -1.4203862
 -0.6019284 ]"
62,7291,[4.9539566  4.901039   4.8619533  ... 0.21040213 0.03665341 0.16567467]
63,4989,[-0.6258742 -1.8865246 -3.95487   ... -1.2394508 -1.2358848 -1.2049292]
64,6021,[-4.8881383 -4.9133506 -5.010208  ... -3.1089838 -3.3316412 -3.38972  ]
65,5505,"[ 2.5661902   2.543747    2.5235052  ... -0.69196737 -0.77678645
 -0.79337454]"
66,3072,[-2.547774  -2.5270357 -2.4791265 ... -0.6661923 -0.5521639 -0.3727169]
67,3711,[-2.680382  -2.685483  -2.664103  ...  6.424778   6.4166718  6.3885207]
68,7806,[ 3.397952   3.5455015  3.4746327 ... -9.40512   -8.974291  -8.457514 ]
69,6651,[-1.1327392 -1.615142  -0.7956179 ... -1.3882778 -1.0226101 -1.409569 ]
70,5505,[-2.7390327 -3.1375637 -3.5005026 ... -8.193838  -5.4052734 -5.4718647]
71,5759,[ 3.891824   4.219238   4.50832   ... -5.8934236 -5.6952047 -6.3096294]
72,5120,[-1.8200196 -1.583999  -1.3301879 ... -4.1756625 -4.0525856 -3.9672847]
73,5759,"[-0.8941605  -0.21127456 -0.07922748 ...  0.5756403   0.6274805
  0.76740384]"
74,6275,"[ 0.42311412  0.271498    0.38314646 ... -7.054187   -6.2099104
 -5.3127723 ]"
75,3326,[-6.3539343 -6.7014947 -7.0078664 ... -8.76791   -9.086029  -9.327224 ]
76,5890,"[-0.03763242 -0.39185596 -0.53436494 ... -9.571695   -9.006815
 -8.527196  ]"
77,7037,"[ 0.06219912  0.1864487   0.07986968 ... -0.07849657 -0.13950258
 -0.16427732]"
78,7037,[ 3.6252148  3.6387691  3.6709604 ... -7.970762  -7.59871   -7.1808195]
79,9216,[ 13.525336  13.250241  12.939083 ... -11.064732 -11.165481 -11.250355]
80,7676,[-4.3570595 -4.3988376 -4.401135  ... -4.9484777 -5.077527  -5.183633 ]
81,5120,[ 9.059537   8.946839   8.8971195 ... 12.594637  12.820772  13.2007   ]
82,7168,[13.57378   13.743772  13.865351  ... -3.1354663 -2.6214883 -2.0365407]
83,6529,"[-14.328497  -15.052546  -15.715526  ...  -3.1354663  -2.6214883
  -2.0365407]"
84,4988,[-1.5488623 -1.2437203 -1.0319078 ...  8.683834   8.728871   8.728308 ]
85,6914,[-2.92517   -2.962332  -2.9809313 ... 23.000929  23.144875  23.264555 ]
86,6275,[21.05662   21.412403  21.713144  ... -7.887695  -7.8875513 -7.7745433]
87,6914,[ 3.8367147  3.6989117  3.5671053 ... -3.2131705 -2.8575673 -2.5182364]
88,6529,[-0.9162357 -1.0042918 -1.0794673 ...  2.8369853  2.8816159  2.8896668]
89,4227,[0.46272957 0.40971196 0.37693983 ... 2.304646   2.3259902  2.410198  ]
90,5243,[-1.3737792 -1.4852496 -1.6831216 ...  6.0599246  5.8641596  5.802237 ]
91,6905,[8.672534  8.907141  9.049829  ... 4.6484447 4.5152354 3.975796 ]
92,6406,"[-6.1946406  -7.01174    -7.799309   ...  0.86797416  0.89812404
  0.93703765]"
93,4866,"[ 0.22116217  0.1864451   0.19018546 ... -4.223935   -4.882907
 -5.0585036 ]"
94,3711,"[-0.49671677 -0.774435   -0.99513984 ...  7.075897    7.4153333
  7.764619  ]"
95,6783,[-3.658947  -3.746512  -3.2511065 ... -3.2907863 -3.687442  -3.6412857]
96,2433,[ 7.909756  8.098748  8.506545 ... -8.980624 -9.008216 -8.999644]
97,3580,[2.6472728 2.2892337 2.1556373 ... 8.825637  8.922373  9.307569 ]
98,6021,[-4.6897664 -4.51216   -4.109244  ... -1.6147248  2.0021439  3.3386538]
99,4612,[ 4.720644   4.541177   3.9041805 ... -1.6147248  2.0021439  3.3386538]
100,6521,[ 3.1683106  2.2318873  1.7146264 ... 14.553364  15.802617  16.831364 ]
101,9085,"[ 3.1683106   2.2318873   1.7146264  ... -0.27399105 -0.43590677
 -0.522249  ]"
102,6660,[-3.2028513 -2.8323858 -2.5217917 ... -3.4703848 -3.795022  -4.17858  ]
103,4473,[-2.0836148 -2.1093335 -2.1248364 ...  1.8354356  1.6570547  1.710585 ]
104,5120,[-6.900308  -6.844933  -7.1006303 ...  5.348062   5.7012787  6.4244404]
105,7430,"[  3.099144    3.1442811   3.133684  ... -10.131763  -10.173892
 -10.360308 ]"
106,4481,[-5.7897043 -5.869511  -5.914316  ... -6.360292  -6.4364777 -6.392766 ]
107,7299,[-10.811056 -10.486353  -9.916946 ... -15.524515 -15.340814 -15.601791]
108,7037,[ 5.3386655  5.2017217  5.0658607 ... -2.9484105 -3.1662397 -3.3809295]
109,4096,"[-15.737415  -16.094553  -16.59397   ...  -4.7200503  -4.440103
  -4.255485 ]"
110,3072,[2.0237215 2.043016  2.0464664 ... 2.0297155 2.0177186 1.9710397]
111,5758,[0.3114232  0.28306693 0.26831788 ... 0.0115494  0.14547656 0.24588539]
112,6013,[1.9575487 1.9283174 1.9439721 ... 1.765265  1.8517693 1.9453914]
113,7553,[16.900618  16.561964  16.228394  ... -4.111329  -4.1753016 -4.2308826]
114,4096,"[-4.50588    -4.552945   -4.515123   ... -0.24147578 -0.3320271
 -0.46262228]"
115,4997,[-3.7395072 -3.6210005 -3.4775665 ...  6.3922915  6.5790496  6.885346 ]
116,7422,"[ -2.1457083  -2.2114804  -2.2772748 ... -11.175413  -11.320173
 -11.49033  ]"
117,8577,[-0.4198902 -0.569254  -0.7780835 ... 16.296618  16.675232  17.07241  ]
118,6021,[45.523773  42.832966  40.087055  ... -1.1973592 -1.3082204 -1.4111044]
119,6783,[-1.4911983 -1.5849826 -1.6457973 ... -1.185751  -1.11613   -1.1223702]
120,7168,[-1.4911983 -1.5849826 -1.6457973 ...  4.441333   4.4209933  4.4403563]
121,4096,[-2.3692038 -2.3597722 -2.3669486 ...  1.6894424  1.3852476  1.2486243]
122,4989,[2.8218348 3.0510905 3.3468132 ... 7.4277167 7.7185864 8.047094 ]
123,6651,[-16.78539  -16.74431  -16.674658 ... -18.036129 -17.962147 -17.91921 ]
124,3974,"[-2.2752576  -2.4724803  -2.7303205  ... -0.4577465  -0.44363445
 -0.44183335]"
125,7290,"[-0.5024947  -0.56304884 -0.58259326 ...  0.28888792  0.21535951
  0.11321844]"
126,5505,"[ 1.5623914e+01  1.5328635e+01  1.5031089e+01 ... -5.6266534e-01
 -2.9582652e-01 -1.6465790e-03]"
127,3203,"[-10.035399  -10.130423  -10.179172  ...  -7.685441   -7.9142175
  -8.154742 ]"
128,5759,[-8.435723  -8.736101  -9.115842  ... -5.3696084 -4.908013  -4.4318986]
129,7684,"[16.920868   17.425798   17.756336   ... -1.2159945  -0.767054
 -0.32113197]"
130,6144,[-3.9790246 -3.559255  -3.1192293 ...  7.195953   7.534772   7.764866 ]
131,8454,"[  2.9615495   2.8106081   2.704752  ... -23.947699  -23.875175
 -23.65417  ]"
132,6144,[ 9.556527 10.03791  10.302099 ... 40.49899  40.180397 40.272617]
133,8577,"[-9.457727   -9.35143    -9.246169   ...  1.7897419   1.3232075
  0.76094836]"
134,8831,[-23.271152 -22.848528 -22.276405 ... -11.645815 -11.734801 -11.841368]
135,8569,[40.764698  41.52456   42.767635  ... -6.2973003 -6.421114  -6.518648 ]
136,7430,"[ 0.20316646 -0.5025163  -1.1287282  ... 17.654799   17.996939
 18.275099  ]"
137,7168,"[-10.003666  -10.495819  -10.934462  ...   3.944467    3.9547155
   3.9535136]"
138,7675,[3.0925071 2.9927356 2.9136875 ... 6.7256417 6.8044453 6.847671 ]
139,6144,"[-0.22808291 -0.21610005 -0.19482023 ...  1.8238412   1.861124
  1.8815184 ]"
140,5243,[ 9.484118   9.957767  10.370913  ...  7.6287985  7.467192   7.284857 ]
141,5505,[ 7.138646  6.990268  6.844096 ... 10.659897 10.771705 10.892668]
142,5251,[11.034471  11.194173  11.343386  ...  5.331458   5.37066    5.4830713]
143,6144,[-6.046459  -6.0842295 -6.1020827 ... -6.6131115 -6.681617  -6.735586 ]
144,9093,[-8.369331  -8.461412  -8.548234  ...  6.7857533  6.8352184  6.915052 ]
145,4227,"[-0.8412318  -0.45298147  0.0582476  ... 13.3589525  13.539303
 13.688723  ]"
146,8454,[4.4778004 4.614858  4.7548003 ... 2.9616604 3.190961  3.3923924]
147,5767,[-1.0456716 -1.3821131 -1.7352762 ...  2.9616604  3.190961   3.3923924]
148,6398,[-14.189933 -14.540601 -14.899314 ...  -8.659552  -8.68528   -8.720048]
149,6660,"[-0.35958305 -0.10108969  0.01622419 ...  0.21138926  0.25879976
  0.4276708 ]"
150,5383,"[-1.5333328  -0.40373498  1.2466452  ... -0.36459854 -0.3952281
 -0.390893  ]"
151,2687,"[-0.8784495  -1.0113851  -0.89235735 ... -2.275415   -2.684333
 -2.509772  ]"
152,4603,[1.7881799 1.7228996 1.7181833 ... 3.3929975 3.5930192 3.857095 ]
153,3326,"[-0.90724224 -0.89589345 -0.7553387  ...  0.45587343  0.4644398
  0.49876046]"
154,3072,[-2.0764818 -2.1115122 -2.1982431 ... -3.0762079 -2.9167337 -2.895416 ]
155,4350,[3.6480877 3.9652863 4.468012  ... 4.192775  4.17246   3.9954944]
156,5505,[1.9864044 1.6810145 1.5578216 ... 1.1786287 1.1696818 1.1569299]
157,5881,[9.0634     8.933137   8.821738   ... 0.9136455  0.84227633 0.8435426 ]
158,4989,[ 4.0752044  4.3510222  4.537547  ... -4.4743114 -5.050938  -5.7616563]
159,7553,[ 9.940093  9.983711  9.952768 ... 41.95696  42.028698 41.85173 ]
160,6783,[-7.0428405 -7.495564  -7.857157  ... 41.95696   42.028698  41.85173  ]
161,4735,[41.667152  41.684223  41.970207  ... -0.9287458 -0.9877674 -1.066998 ]
162,6783,"[-26.159826  -26.160133  -26.235073  ...  -1.7368878  -1.8769737
  -2.1043212]"
163,6267,"[ -6.069116   -5.7538104  -5.4207306 ... -19.400202  -19.250044
 -19.085749 ]"
164,2695,"[ -2.3876667  -2.6637485  -2.9805233 ... -12.093267  -12.220827
 -12.428795 ]"
165,7168,[-9.619615  -9.561406  -9.6242075 ... 12.908015  12.867484  12.80971  ]
166,4350,[5.5072904 5.4872203 5.5754986 ... 4.609969  4.464555  4.3670425]
167,3834,[-2.6578393 -2.4450755 -2.2026308 ... -3.8163767 -3.7796082 -3.7066474]
168,5628,"[-12.555856  -12.619014  -12.686504  ...   5.816317    5.9384923
   6.0648127]"
169,4604,[-2.8228216 -2.910624  -3.009701  ... -4.875689  -4.9249988 -4.978336 ]
170,3580,[ 6.2679815  6.3193426  6.3263154 ... -0.9581624 -1.0475047 -1.0858642]
171,3326,[12.983743  13.092514  13.16133   ...  8.275598   8.4783325  8.638333 ]
172,4096,[15.102315  14.710239  14.291596  ... -2.0860443 -2.0607677 -2.0255096]
173,4998,[ 4.7396364  3.860326   3.8588982 ... -9.7982855 -9.368069  -8.668939 ]
174,8830,"[ 3.6794746   2.1002886  -0.01008947 ...  6.0243945  -1.0884058
 -1.6205201 ]"
175,9093,[27.86024   28.15432   28.628693  ...  3.4566302  4.8145614  6.327005 ]
176,8069,"[ 0.02693652 -0.53784114 -1.2569653  ...  2.7510638   3.1493127
  3.3207886 ]"
177,5628,[ 3.1082664  2.5296538  2.5816753 ...  9.051076  11.146001   9.687708 ]
178,4350,[-0.6615872 -1.9037845 -2.2732158 ...  1.140901   1.8671802  4.116635 ]
179,5120,[-7.9692283 -8.379872  -7.81449   ...  0.6345007  0.566297   0.3415759]
180,3580,"[ 0.1592798   0.18449405  0.3237361  ... -1.012111   -0.63908273
 -0.18043049]"
181,7168,[-1.5872773 -1.661033  -1.749154  ... -2.1428704 -2.2571251 -2.3617628]
182,7168,[ 21.327692  21.55756   21.733292 ... -21.122473 -21.11133  -21.135368]
183,5759,[ -8.820159  -8.937958  -9.024861 ... -19.087357 -19.257912 -19.387999]
184,4358,"[ -3.1326518  -3.3163548  -3.4737687 ... -15.076157  -14.83192
 -14.732489 ]"
185,8192,"[ 0.66145986  0.48259416  0.383897   ... -1.3420149  -1.9674692
 -2.1081104 ]"
186,4219,"[-14.359731  -13.616448  -13.183292  ...  -4.069716   -3.9417768
  -4.026324 ]"
187,6528,[0.7709145  0.85087526 2.0614107  ... 0.45350653 0.91223186 1.2105885 ]
188,7167,[-18.61811  -19.146326 -19.695406 ...  10.390503  10.525249  10.590965]
189,5628,"[ 0.84170544  0.23528169 -0.16828763 ...  2.7529423   2.6375856
  2.4703293 ]"
190,5890,[-1.6971904 -2.0637407 -2.3861585 ...  9.602544   9.528743   9.404412 ]
191,8069,"[-1.6971904  -2.0637407  -2.3861585  ... -1.4409884  -1.4105817
 -0.93201184]"
192,5374,"[ 9.787285   10.078884   10.398086   ... -1.4409884  -1.4105817
 -0.93201184]"
193,8446,[ 2.1997583  2.6704783  1.9114958 ... -5.831554  -5.8996115 -5.946735 ]
194,7815,[ 3.7374744  4.275275   4.8371644 ... 11.272894  11.03988   11.000357 ]
195,8708,"[  6.2764645   5.314291    4.5317984 ... -12.8323965 -12.986068
 -12.597691 ]"
196,7168,[-5.891899  -5.86631   -5.9817214 ... -3.639462  -3.8463707 -3.8983643]
197,6529,"[-3.658094   -3.0475833  -2.7854354  ... -1.406752   -0.70300704
  0.27363858]"
198,5890,[-5.190379  -4.201581  -3.6911154 ... 13.700422  13.65708   12.774193 ]
199,3326,[-3.107043  -1.9597917 -1.169046  ...  3.354598   2.8640149  2.3175704]
200,8708,[-3.107043  -1.9597917 -1.169046  ... -3.351989  -1.6357495 -4.2891774]
201,6521,"[-1.2750419  -0.38570762  0.14021423 ... -4.722177   -4.4494166
 -4.3670087 ]"
202,3072,[ 3.3591008  3.3932464  2.3911116 ... -4.722177  -4.4494166 -4.3670087]
203,4350,[5.4218764 5.369854  5.120966  ... 3.3780782 1.7516984 1.3390038]
204,5759,[-4.5790467 -4.512935  -4.29619   ...  2.1281445  3.3486083  3.3756754]
205,2433,"[ 4.718432    4.9247265   5.2034655  ... -0.95348907 -0.34875104
 -0.5219001 ]"
206,5636,"[  2.8844445   3.3236852   3.7447698 ... -25.633062  -25.540789
 -25.55651  ]"
207,5505,[ 10.603587  11.150576  10.161957 ... -25.633062 -25.540789 -25.55651 ]
208,4989,[-25.767931 -26.23952  -26.784185 ...  27.358213  27.992693  27.88661 ]
209,6906,"[-25.767931  -26.23952   -26.784185  ...   7.3303022   7.9092317
   8.171815 ]"
210,5251,[27.302092  27.001926  27.104479  ...  0.9999043  1.6308328  1.0992194]
211,6398,"[ 0.53636885  0.09450241  0.08356244 ... 14.016243   13.95801
 13.9745    ]"
212,6906,"[-13.410368  -13.277437  -13.178836  ...   6.5593266  11.102614
  12.868565 ]"
213,4989,"[-0.14298452 -1.0513915  -1.6622511  ... -8.681087   -8.2797365
 -8.250326  ]"
214,4349,"[-8.859474   -9.3896     -9.45822    ... -0.44289967  0.69289285
  2.600441  ]"
215,5373,"[ 2.8799796   2.8638403   2.8881388  ... -0.10473713 -0.07731421
 -0.082323  ]"
216,3203,"[ -6.8746634  -6.904721   -7.046127  ...  -9.906081  -10.263971
 -10.687509 ]"
217,4734,"[ 0.21510512  0.23690546 -0.24101253 ... -6.232677   -6.148703
 -5.4100094 ]"
218,3588,[-2.783914  -2.5971837 -3.0171328 ... 10.251403  10.252172  10.114166 ]
219,4219,"[-10.07537   -10.144112  -10.108237  ...  -3.246516   -3.2842946
  -3.639787 ]"
220,3580,[-3.1618166 -3.1259952 -3.0786316 ... -2.760101  -2.6919837 -2.6088688]
221,4735,"[-13.041172  -12.848743  -12.851997  ...   4.8153005   4.9107533
   4.82514  ]"
222,6914,"[ 0.17023396  0.42290565  0.71123385 ... -4.048697   -4.149559
 -4.187246  ]"
223,5120,[4.3628654 4.377329  4.210435  ... 7.232709  7.260347  7.2883053]
224,3457,[-2.7312913 -2.7629921 -2.7561903 ... -1.4239506 -1.4463116 -1.4510233]
225,5890,[-3.3499675 -3.2632349 -3.2526395 ...  2.2609713  2.2643552  2.2164695]
226,5119,[-1.735392  -1.7285964 -1.7014192 ...  7.5743475  7.520623   7.349987 ]
227,8060,[-1.9731604 -1.7952689 -1.6145335 ...  5.282912   5.422603   5.582534 ]
228,7937,[8.540509  8.24854   7.9798946 ... 4.758659  4.7945232 4.8147726]
229,8708,"[-26.377836  -25.625975  -25.006182  ...   5.263207    5.2161264
   5.022396 ]"
230,3965,[-0.8564438 -0.806744  -0.7537327 ...  9.949551  10.0074835 10.039589 ]
231,5882,"[ 0.12440827  0.1679704   0.14455825 ... -1.3026203  -1.2114232
 -1.1612109 ]"
232,5243,"[ 0.77543     0.874059    0.9800172  ... -0.13210876 -0.04409338
 -0.0041109 ]"
233,6143,[2.8116014 2.8761013 2.9075706 ... 2.1576385 2.1863346 2.282112 ]
234,7421,"[-5.406397   -5.365644   -5.2276955  ... -0.309974   -0.05008389
  0.08151293]"
235,5251,[-9.722695 -9.868107 -9.988326 ... 11.535293 11.524301 11.59758 ]
236,4612,[0.74438894 0.5882381  0.5522937  ... 1.2845306  1.3949184  1.5402777 ]
237,4481,"[ 7.92735     7.8895082   7.8295126  ... -0.2676269  -0.52099836
 -0.7837671 ]"
238,4866,[3.3439925  3.4294426  3.5724041  ... 0.27677026 0.4245401  0.5419576 ]
239,8454,[-1.1380966 -1.4527277 -1.7239655 ...  2.1883168  2.2666025  2.3777056]
240,7684,"[ 0.6732836   0.81664336  0.97984743 ... -4.5597453  -4.2512302
 -3.8529317 ]"
241,8445,[-6.043232  -5.9720273 -5.8481636 ... -7.554787  -7.45317   -7.3738194]
242,5505,"[-1.8980786  -1.8786674  -1.9538872  ...  0.15817869  0.2812498
  0.4152995 ]"
243,4735,"[-0.5049396  -0.3651268   0.05038574 ...  0.8835063   0.9951903
  0.91129255]"
244,3579,[1.8764807 2.1953077 2.6798847 ... 3.495413  2.8137908 1.9913534]
245,4858,[ 4.3627276  4.6113424  4.5350833 ... -2.848898  -2.579623  -2.4049861]
246,6013,[-2.5388696 -2.37891   -2.069833  ... 31.467514  31.434227  31.194017 ]
247,9347,[ 3.084651   2.999771   2.7015984 ... 10.678272  10.304767  10.385156 ]
248,6144,[-7.0681505 -7.0826    -6.9882956 ...  3.8034043  4.605251   4.7189775]
249,4481,[-2.2584758 -1.930238  -1.6452252 ... -8.088135  -8.282878  -8.766992 ]
250,5505,[4.314013  4.021474  3.7682052 ... 7.069473  7.0052223 6.939035 ]
251,5505,[4.314013  4.021474  3.7682052 ... 7.069473  7.0052223 6.939035 ]
252,5628,[ 6.9020324  6.8452826  6.7822804 ... 23.054245  22.977636  22.904936 ]
253,3973,[ 2.8327794  2.6667135  2.5764291 ... 20.809862  20.532866  20.198774 ]
254,4734,"[-11.927651   -11.8389     -11.8654585  ...  -0.17591798   0.37114146
   0.8547331 ]"
255,6143,[ 8.574812   8.388837   8.3808775 ... 10.175558  10.225435  10.2720175]
256,5242,[5.0813594 4.908106  4.758743  ... 2.632527  3.2000031 3.7879813]
257,4350,[10.305769  10.308188  10.285842  ...  6.1224074  5.8863506  5.6283765]
258,7299,"[-6.7437024  -7.3857884  -8.219104   ...  0.27057016  0.43093452
  0.5474801 ]"
259,5505,[3.6069286 3.8306077 3.3938668 ... 2.3538349 2.3557584 2.336801 ]
260,3842,"[-4.243578   -4.2977867  -4.2864723  ... -0.87505186 -0.8603386
 -0.90817016]"
261,4858,[-3.0400367 -3.1588812 -2.7811656 ...  3.4645593  3.4486563  3.4463613]
262,2809,"[ 2.584886    2.4716482   2.3636222  ... -0.0048684  -0.50577587
 -0.82245547]"
263,6398,[-5.8918004 -5.98591   -5.942828  ... -4.8754535 -4.9230456 -5.0616927]
264,3449,[-5.2871666 -5.6261525 -5.108484  ... -1.5585835 -1.5504289 -1.0432074]
265,2687,"[-7.093661   -4.946897   -2.735084   ...  0.7087628  -0.01381471
 -0.78242815]"
266,5628,[-2.3435602 -2.4456654 -2.4431906 ...  4.266398   4.7229195  4.5024686]
267,7553,[-4.709625  -4.63875   -4.659937  ...  3.122562   2.5106995  2.051868 ]
268,3457,"[ 0.42942572  1.3897978   0.9100046  ... -0.03346015  0.7778607
  1.5021921 ]"
269,5505,[-1.7570235 -1.5496188 -1.3584733 ... -3.6718621 -3.9274118 -4.2307553]
270,3710,[-4.608251  -4.8362913 -4.716875  ...  2.1709294  2.3344297  2.0385246]
271,3965,[2.348045   2.3351266  2.2156389  ... 0.76602155 0.8182739  0.90950054]
272,3334,[0.59323525 0.57382154 0.57475924 ... 2.0473156  2.0077658  1.9695159 ]
273,2687,[-6.7884283 -6.793433  -6.807539  ... -6.863513  -6.9260726 -7.014979 ]
274,3973,"[  2.7472072   2.7380805   2.919462  ... -12.347971  -12.455174
 -12.522969 ]"
275,4096,"[-12.686344  -12.8819895 -13.081258  ...   1.330315    1.1493168
   0.9748496]"
276,6661,[11.526177  11.542445  11.560071  ... -4.1004443 -4.003901  -3.9734051]
277,5505,[ 8.089592  8.067371  8.062641 ... 10.672305 10.573111 10.459703]
278,3965,[1.3316686 1.5047965 1.4609944 ... 4.0163593 4.2030888 4.2740045]
279,2818,"[ 3.3784566   3.1222038   2.7091866  ...  0.34023926 -0.00708151
 -0.04779123]"
280,5120,[9.12495   8.892695  9.055241  ... 1.3561648 1.7236632 1.9130311]
281,5120,"[-0.01368611 -0.01478532 -0.00445462 ...  2.9724953   2.9983149
  3.0281289 ]"
282,3842,"[-1.0693479   1.1649634   0.19848561 ... -2.9656274  -5.8308134
 -2.0410454 ]"
283,2941,[0.05566151 0.04416332 0.01926662 ... 6.058154   6.093466   6.106261  ]
284,5120,[-7.558197  -7.5403934 -7.5148835 ... -4.963236  -4.931404  -4.843164 ]
285,7291,[-7.558197  -7.5403934 -7.5148835 ...  7.7129683  7.696467   7.621998 ]
286,3457,[-1.4005569 -1.3566145 -1.3503741 ...  4.2148385  3.9638608  3.7739275]
287,6398,[ 4.13502    4.355733   4.414656  ... -4.196719  -4.0452266 -3.961842 ]
